Acronym,Definition,Comment,Link,CreatedAt,CreatedBy,UpdatedAt,UpdatedBy
AKA,Also Known As,,,2022-12-15T11:41:25Z,GW,2022-12-15T11:41:25Z,GW
AMP,Advanced Malware Protection,,,2022-12-15T11:41:25Z,GW,2022-12-15T11:41:25Z,GW
ANSI,American National Standards Institute,,,2022-12-15T11:41:25Z,GW,2022-12-15T11:41:25Z,GW
API,Application Programming Interface,,,2022-12-15T11:41:25Z,GW,2022-12-15T11:41:25Z,GW
APT,Advanced Package Tool,"APT (Advanced Package Tool) is a more advanced front-end for dpkg (Debian Package), the lowest-level package management system for Debian-based Linux distributions.",,2022-12-15T11:41:25Z,GW,2022-12-15T11:41:25Z,GW
APT,Advanced Persistent Threat,,,2022-12-15T11:41:25Z,GW,2022-12-15T11:41:25Z,GW
ARP,Address Resolution Protocol,,,2022-12-15T11:41:25Z,GW,2022-12-15T11:41:25Z,GW
ATM,Asynchronous Transfer Mode,"The acronym ATM stands for Asynchronous Transfer Mode and refers to a communication protocol which can be used to transfer data, videos and speech. ",,2022-12-15T11:41:25Z,GW,2022-12-15T11:41:25Z,GW
AUP,Acceptable Use Policy ,,,2022-12-15T11:41:25Z,GW,2022-12-15T11:41:25Z,GW
AVC,Anti-Virus,,,2022-12-15T11:41:25Z,GW,2022-12-15T11:41:25Z,GW
AVC,Application Visibility and Control ,,,2022-12-15T11:41:25Z,GW,2022-12-15T11:41:25Z,GW
B2B,B2B collaboration allows you to share your apps and resources with external users.,,,2022-12-15T11:41:25Z,GW,2022-12-15T11:41:25Z,GW
B2C,B2C is an identity management solution for consumer and customer facing apps.,,,2022-12-15T11:41:25Z,GW,2022-12-15T11:41:25Z,GW
BAC,Basic Access Control,This ensures that the passport is genuine and matches the person's identity presenting it.,,2022-12-15T11:41:25Z,GW,2022-12-15T11:41:25Z,GW
BGP,Border Gateway Protocol,BGP is essential for establishing efficient routes between the large networks that make up the Internet (these large networks are called autonomous systems). Autonomous systems use BGP to broadcast which IP addresses they control.,,2022-12-15T11:41:25Z,GW,2022-12-15T11:41:25Z,GW
BOYD,Bring Your Own Device,,,2022-12-15T11:41:25Z,GW,2022-12-15T11:41:25Z,GW
BSS,Basic Service Set,,,2022-12-15T11:41:25Z,GW,2022-12-15T11:41:25Z,GW
BTRFS,Linux file system,"Next generation. Snapshots, compression, drive pooling, online defrag",,2022-12-15T11:41:25Z,GW,2022-12-15T11:41:25Z,GW
CA,Certificate Authorities,,,2022-12-15T11:41:25Z,GW,2022-12-15T11:41:25Z,GW
CAK,Card Authentication Key,,,2022-12-15T11:41:25Z,GW,2022-12-15T11:41:25Z,GW
CAL,Client Access Licenses,,,2022-12-15T11:41:25Z,GW,2022-12-15T11:41:25Z,GW
CDN,Content Delivery Manager,A content delivery network (CDN) refers to a geographically distributed group of servers which work together to provide fast delivery of Internet content. ,https://www.cloudflare.com/learning/cdn/what-is-a-cdn/,2022-12-15T11:41:25Z,GW,2022-12-15T11:41:25Z,GW
CDSA,Common Data Security Architecture,,,2022-12-15T11:41:25Z,GW,2022-12-15T11:41:25Z,GW
CHACHA20 ,,Stream cipher ,,2023-04-13T08:21:00Z,GW,2023-04-13T08:21:00Z,GW
CHATGPT,ChatGPT,an artificial-intelligence (AI) chatbot developed by OpenAI and launched in November 2022,https://en.wikipedia.org/wiki/ChatGPT,2023-04-06T11:12:00Z,GW,2023-04-06T11:12:00Z,GW
CHUID,Card Holder Unique Identifier,,,2022-12-15T11:41:25Z,GW,2022-12-15T11:41:25Z,GW
CIA,Confidentiality Integrity Availability,"Confidentiality assurance, Integrity assurance, Availability",,2022-12-15T11:41:25Z,GW,2022-12-15T11:41:25Z,GW
CIDR,Classless Internet Domain Routing,A method for allocating IP addresses and for IP routing.,https://en.wikipedia.org/wiki/Classless_Inter-Domain_Routing,2022-12-15T11:41:25Z,GW,2022-12-15T11:41:25Z,GW
CIO,Chief Information Officer,"Chief information officer (CIO), chief digital information officer (CDIO) or information technology (IT) director, is a job title commonly given to the most senior executive in an enterprise who works with information technology and computer systems, in order to support enterprise goals.",https://en.wikipedia.org/wiki/Chief_information_officer,2022-12-15T11:41:25Z,GW,2022-12-15T11:41:25Z,GW
CIS,Center for Internet Security ,,,2022-12-15T11:41:25Z,GW,2022-12-15T11:41:25Z,GW
CISE,Computer and Information Science and Engineering,,,2022-12-15T11:41:25Z,GW,2022-12-15T11:41:25Z,GW
CISO,Chief Information Security Oficer,"A chief information security officer (CISO) is a senior-level executive within an organization responsible for establishing and maintaining the enterprise vision, strategy, and program to ensure information assets and technologies are adequately protected.",https://en.wikipedia.org/wiki/Chief_information_security_officer,2023-09-11T11:41:25Z,GW,2023-09-11T11:41:25Z,GW
CK,Cryptographic Key,,,2022-12-15T11:41:25Z,GW,2022-12-15T11:41:25Z,GW
CKM,Cryptographic Key Management,,,2022-12-15T11:41:25Z,GW,2022-12-15T11:41:25Z,GW
CKMS,Cryptographic Key Management System,,,2022-12-15T11:41:25Z,GW,2022-12-15T11:41:25Z,GW
CMDB,Configuration Management Data Base ,,,2022-12-15T11:41:25Z,GW,2022-12-15T11:41:25Z,GW
CMMC,Cybersecurity Maturity Model Certification ,,,2022-12-15T11:41:25Z,GW,2022-12-15T11:41:25Z,GW
CMS,Content Management Systems,,,2022-12-15T11:41:25Z,GW,2022-12-15T11:41:25Z,GW
CMS,Cryptographic Message Syntax,,,2022-12-15T11:41:25Z,GW,2022-12-15T11:41:25Z,GW
CNAME,Common Name,A Canonical Name (CNAME) record is a type of resource record in the Domain Name System (DNS) that maps one domain name (an alias) to another (the canonical name). ,https://en.wikipedia.org/wiki/CNAME_record,2022-12-15T11:41:25Z,GW,2022-12-15T11:41:25Z,GW
CNC,Command-And-Control ,,,2022-12-15T11:41:25Z,GW,2022-12-15T11:41:25Z,GW
COBIT,Control Objectives for Information and Related Technologies ,,,2022-12-15T11:41:25Z,GW,2022-12-15T11:41:25Z,GW
CRL,Certificate Revocation List,,,2022-12-15T11:41:25Z,GW,2022-12-15T11:41:25Z,GW
CSIRC,computer security incident response capability ,,,2022-12-15T11:41:25Z,GW,2022-12-15T11:41:25Z,GW
CSIRT,Computer Security Incident Response Team ,,,2022-12-15T11:41:25Z,GW,2022-12-15T11:41:25Z,GW
CSMA/CD,Carrier Sense Multiple Access Collision Avoidance,,,2022-12-15T11:41:25Z,GW,2022-12-15T11:41:25Z,GW
CSP,Cloud Service Provider,,,2022-12-15T11:41:25Z,GW,2022-12-15T11:41:25Z,GW
CSPRNG,Cryptographically Secure Pseudorandom Number Generator ,A cryptographically secure pseudorandom number generator (CSPRNG) or cryptographic pseudorandom number generator (CPRNG) is a pseudorandom number generator (PRNG) with properties that make it suitable for use in cryptography.,https://en.wikipedia.org/wiki/Cryptographically_secure_pseudorandom_number_generator,2023-04-13T08:21:00Z,GW,2023-04-13T08:21:00Z,GW
CSRF,Cross-site request forgery,,,2022-12-15T11:41:25Z,GW,2022-12-15T11:41:25Z,GW
CT,Computed Tomography,,,2022-12-15T11:41:25Z,GW,2022-12-15T11:41:25Z,GW
CTF,Capture the Flag ,"an exercise in which ""flags"" are secretly hidden in purposefully-vulnerable programs or websites ",,2023-04-06T11:12:00Z,GW,2023-04-06T11:12:00Z,GW
CTI,Cyber Threat Intelligence ,,,2022-12-15T11:41:25Z,GW,2022-12-15T11:41:25Z,GW
CTS,Clear To Send,,,2022-12-15T11:41:25Z,GW,2022-12-15T11:41:25Z,GW
CVE,Common Vulnerabilities and Exposures ,A dictionary of vulnerabilities and exposures in products and systems maintained by MITRE. A CVE-ID is the industry standard method to identify vulnerabilities.,,2022-12-15T11:41:25Z,GW,2022-12-15T11:41:25Z,GW
CVSS,Common Vulnerability Scoring System,Common Vulnerability Scoring System - An industry standard used to convey information about the severity of vulnerabilities.,,2022-12-15T11:41:25Z,GW,2022-12-15T11:41:25Z,GW
CWE,Common Weakness Enumeration,A specification developed and maintained by MITRE to identify the root cause (weaknesses) of security vulnerabilities. You can obtain the list of CWEs from cwe.mitre.org. ,,2022-12-15T11:41:25Z,GW,2022-12-15T11:41:25Z,GW
CWESS,Common Weakness Scoring System,A specification developed and maintained by MITRE to provide a way to prioritize software weaknesses that can introduce security vulnerabilities. You can obtain the list of CWSS from cwe.mitre.org/cwss. ,,2022-12-15T11:41:25Z,GW,2022-12-15T11:41:25Z,GW
CYA,Cover Your Ass,"""Cover your ass"" refers to a tactic used by workers and organizations to share or divert blame or provide a disclaimer should something go wrong.",https://www.investopedia.com/terms/c/cover-your-ass.asp,2023-05-29T07:51:25Z,GW,2023-05-29T07:41:25Z,GW
CYBOX,Cyber Observable eXpression ,,,2022-12-15T11:41:25Z,GW,2022-12-15T11:41:25Z,GW
DA,Destination Address,,,2022-12-15T11:41:25Z,GW,2022-12-15T11:41:25Z,GW
DAC,Discretionary Access Control,,,2022-12-15T11:41:25Z,GW,2022-12-15T11:41:25Z,GW
DAR,Data-At-Rest,,,2022-12-15T11:41:25Z,GW,2022-12-15T11:41:25Z,GW
DBMS,DataBase Management System,,,2022-12-15T11:41:25Z,GW,2022-12-15T11:41:25Z,GW
DC,Data Center,,,2022-12-15T11:41:25Z,GW,2022-12-15T11:41:25Z,GW
DC,Domain Controller,,,2022-12-15T11:41:25Z,GW,2022-12-15T11:41:25Z,GW
DDNS,Dynamic DNS,,,2022-12-15T11:41:25Z,GW,2022-12-15T11:41:25Z,GW
DDOS,Distributed Denial-of-service ,,,2022-12-15T11:41:25Z,GW,2022-12-15T11:41:25Z,GW
DES,Data Encryption Standard ,,,2022-12-15T11:41:25Z,GW,2022-12-15T11:41:25Z,GW
DHCP,Dynamic Host Configuration Protocol ,,,2022-12-15T11:41:25Z,GW,2022-12-15T11:41:25Z,GW
DLP,Data Loss Prevention ,,,2022-12-15T11:41:25Z,GW,2022-12-15T11:41:25Z,GW
DMZ,DeMilitarized Zone,"referred to as a perimeter network or screened subnet) is a physical or logical subnetwork that contains and exposes an organization's external-facing services to an untrusted, usually larger, network such as the Internet.",,2022-12-15T11:41:25Z,GW,2022-12-15T11:41:25Z,GW
DNF,Dandified Packaging Too,"DNF (Dandified Packaging Tool) is a package manager that installs, updates, and removes packages on RPM-based Linux distributions. ",,2022-12-15T11:41:25Z,GW,2022-12-15T11:41:25Z,GW
DNS,Domain Name System,,,2022-12-15T11:41:25Z,GW,2022-12-15T11:41:25Z,GW
DOD,Department of Defense,,,2022-12-15T11:41:25Z,GW,2022-12-15T11:41:25Z,GW
DORK,Google dork ,"A Google dork query, sometimes just referred to as a dork, is a search string or custom query that uses advanced search operators to find information not readily available on a website. ",https://www.techtarget.com/whatis/definition/Google-dork-query,2022-12-15T11:41:25Z,GW,2022-12-15T11:41:25Z,GW
DOS,Denial of Service ,,,2022-12-15T11:41:25Z,GW,2022-12-15T11:41:25Z,GW
DSL,Domain Specific Language ,,,2022-12-15T11:41:25Z,GW,2022-12-15T11:41:25Z,GW
DSRM,Directory Services Restore Password,,,2022-12-15T11:41:25Z,GW,2022-12-15T11:41:25Z,GW
DVR,digital video recorder,,,2022-12-15T11:41:25Z,GW,2022-12-15T11:41:25Z,GW
EAC,Extended Access Control,"This protects the holder's privacy, including fingerprints that may be stored on the biometric chip.",,2022-12-15T11:41:25Z,GW,2022-12-15T11:41:25Z,GW
EAP,Extensible Access Protocol,,,2022-12-15T11:41:25Z,GW,2022-12-15T11:41:25Z,GW
ECDSA, Elliptic Curve Digital Signature Algorithm,,,2022-12-15T11:41:25Z,GW,2022-12-15T11:41:25Z,GW
EGP,Exterior Gateway Protocol,"exchanges routing information in different ASs, for example, Border Gateway Protocol (BGP)",https://support.huawei.com/enterprise/en/doc/EDOC1100086956,2022-12-15T11:41:25Z,GW,2022-12-15T11:41:25Z,GW
EHT,Electronic Health Record,,,2022-12-15T11:41:25Z,GW,2022-12-15T11:41:25Z,GW
EKM,Electronic Key Management,,,2022-12-15T11:41:25Z,GW,2022-12-15T11:41:25Z,GW
EKMS, Electronic Key Management System,,,2022-12-15T11:41:25Z,GW,2022-12-15T11:41:25Z,GW
ELKE,"Elasticsearch, Logstash, and Kibana ",,,2022-12-15T11:41:25Z,GW,2022-12-15T11:41:25Z,GW
EMT,Emergency Medical Technician,,,2022-12-15T11:41:25Z,GW,2022-12-15T11:41:25Z,GW
EXT4,Linux file system,"Default. Journalling. Robust. If in doubt, EXT4",,2022-12-15T11:41:25Z,GW,2022-12-15T11:41:25Z,GW
FCS,Frame Check Sequence,,,2022-12-15T11:41:25Z,GW,2022-12-15T11:41:25Z,GW
FDA,Food and Drug Administration,,,2022-12-15T11:41:25Z,GW,2022-12-15T11:41:25Z,GW
FEMA,Federal Emergency Management Agency,,,2022-12-15T11:41:25Z,GW,2022-12-15T11:41:25Z,GW
FIDO,Fast IDentity Online ,"The FIDO (""Fast IDentity Online"") Alliance is an open industry association launched in February 2013 whose stated mission is to develop and promote authentication standards that ""help reduce the world’s over-reliance on passwords"".",https://fidoalliance.org/what-is-fido/,2023-04-13T08:21:00Z,GW,2023-04-13T08:21:00Z,GW
FIM,File integrity monitoring ,"File integrity monitoring (FIM) is an internal control or process that performs the act of validating the integrity of operating system and application software files using a verification method between the current file state and a known, good baseline.",https://en.wikipedia.org/wiki/File_integrity_monitoring,2023-03-13T09:38:00Z,GW,2023-03-13T09:38:00Z,GW
FIRST,Forum of Incident Response and Security Teams ,,,2022-12-15T11:41:25Z,GW,2022-12-15T11:41:25Z,GW
FQDN,Fully Qualified Domain Name,,,2022-12-15T11:41:25Z,GW,2022-12-15T11:41:25Z,GW
FTP,File Transfer Protocol. ,,,2022-12-15T11:41:25Z,GW,2022-12-15T11:41:25Z,GW
GCM,Galois/Counter Mode,"In cryptography, Galois/Counter Mode (GCM) is a mode of operation for symmetric-key cryptographic block ciphers which is widely adopted for its performance.",https://en.wikipedia.org/wiki/Galois/Counter_Mode,2023-04-13T08:21:00Z,GW,2023-04-13T08:21:00Z,GW
GDOI,Group Domain of Interpretation,,,2022-12-15T11:41:25Z,GW,2022-12-15T11:41:25Z,GW
GDPR,General Data Protection Regulation ,,,2022-12-15T11:41:25Z,GW,2022-12-15T11:41:25Z,GW
GID,Group ID,,,2022-12-15T11:41:25Z,GW,2022-12-15T11:41:25Z,GW
GKM,Group Key Management,,,2022-12-15T11:41:25Z,GW,2022-12-15T11:41:25Z,GW
GPT,Generative pre-trained transformers,a family of large language models (LLMs) introduced by the American artificial intelligence organization OpenAI in 2018,https://en.wikipedia.org/wiki/Generative_pre-trained_transformer,2023-04-06T11:12:00Z,GW,2023-04-06T11:12:00Z,GW
GRE,Generic Routing Encapsulation,,,2022-12-15T11:41:25Z,GW,2022-12-15T11:41:25Z,GW
GTLD,generic Top Level Domains,,,2022-12-15T11:41:25Z,GW,2022-12-15T11:41:25Z,GW
GUI,Graphical User Interface,,,2022-12-15T11:41:25Z,GW,2022-12-15T11:41:25Z,GW
HDLC,High-Level Data Link Control ,,,2022-12-15T11:41:25Z,GW,2022-12-15T11:41:25Z,GW
HFS,"Hierarchical File System (HFS), Apple!",,,2022-12-15T11:41:25Z,GW,2022-12-15T11:41:25Z,GW
HIDS,Host Based Intrusion Detection Systems,,,2022-12-15T11:41:25Z,GW,2022-12-15T11:41:25Z,GW
HIP,Host Identity Protocol,,,2022-12-15T11:41:25Z,GW,2022-12-15T11:41:25Z,GW
HIPAA,Health Insurance Portability and Accountability Act ,,,2022-12-15T11:41:25Z,GW,2022-12-15T11:41:25Z,GW
HIPS,Host Intrusion Prevention System ,,,2022-12-15T11:41:25Z,GW,2022-12-15T11:41:25Z,GW
HMAC,Hash-based Message Authentication Code ,,,2022-12-15T11:41:25Z,GW,2022-12-15T11:41:25Z,GW
HPC,High Performance Computing,,https://en.wikipedia.org/wiki/High-performance_computing,2023-01-19T14:35:00Z,GW,2023-01-19T14:35:00Z,GW
HSM,Hardware Security Module,Purpose designed hardware devices for cryptographic operations. Typically used to generate/store keys and sign/decrypt data.,,2022-12-15T11:41:25Z,GW,2022-12-15T11:41:25Z,GW
HTTP,Hypertext Transfer Protocol,,,2022-12-15T11:41:25Z,GW,2022-12-15T11:41:25Z,GW
HTTPS,HTTP Secure,,,2022-12-15T11:41:25Z,GW,2022-12-15T11:41:25Z,GW
HUB,hub acts as a multi-port repeater,,,2022-12-15T11:41:25Z,GW,2022-12-15T11:41:25Z,GW
IAAC,Infrastructure as code,"Infrastructure as code (IaC) is the process of managing and provisioning computer data centers through machine-readable definition files, rather than physical hardware configuration or interactive configuration tools. ",https://en.wikipedia.org/wiki/Infrastructure_as_code,2023-01-30T08:03:00Z,GW,2023-01-30T08:03:00Z,GW
IAAS,Infrastructure as a Service,IaaS is a cloud computing service model by means of which computing resources are supplied by a cloud services provider. ,https://en.wikipedia.org/wiki/Infrastructure_as_a_service,2022-12-15T11:41:25Z,GW,2023-01-19T14:35:00Z,GW
IAM,identity and access management  ,"identity and access management (IAM or IdAM), is a framework of policies and technologies to ensure that the right users (that are part of the ecosystem connected to or within an enterprise) have the appropriate access to technology resources.  ",https://en.wikipedia.org/wiki/Identity_management,2023-01-23T09:27:00Z,GW,2023-01-23T09:27:00Z,GW
IANA,Assigned Numbers Authority,The Internet Assigned Numbers Authority (IANA) maintains the full list port numbers and protocols assigned to them,https://www.iana.org/,2022-12-15T11:41:25Z,GW,2022-12-15T11:41:25Z,GW
IBE,Identity=Based Encryption,,,2022-12-15T11:41:25Z,GW,2022-12-15T11:41:25Z,GW
IBKM, Identity-Based Key Management,,,2022-12-15T11:41:25Z,GW,2022-12-15T11:41:25Z,GW
ICAAN,Internet Corporation For Assigned Names and Numbers,"The Internet Corporation for Assigned Names and Numbers is an American multistakeholder group and nonprofit organization responsible for coordinating the maintenance and procedures of several databases related to the namespaces and numerical spaces of the Internet, ensuring the network's stable and secure operation",https://www.icann.org/,2023-01-30T08:03:00Z,GW,2023-01-30T08:03:00Z,GW
ICMP,Internet Control Message Protocol ,,,2022-12-15T11:41:25Z,GW,2022-12-15T11:41:25Z,GW
ID,Identity,,,2022-12-15T11:41:25Z,GW,2022-12-15T11:41:25Z,GW
IDAAS,identity as a Service,,,2022-12-15T11:41:25Z,GW,2022-12-15T11:41:25Z,GW
IDKM,Identity-Based Key Management,,,2022-12-15T11:41:25Z,GW,2022-12-15T11:41:25Z,GW
IDN,Identity Defined Networking ,,,2022-12-15T11:41:25Z,GW,2022-12-15T11:41:25Z,GW
IDPS,Intrusion Detection Prevention System ,,,2022-12-15T11:41:25Z,GW,2022-12-15T11:41:25Z,GW
IDS,Intrusion Detection System,,,2022-12-15T11:41:25Z,GW,2022-12-15T11:41:25Z,GW
IEC,International Electrotechnical Commission ,,,2022-12-15T11:41:25Z,GW,2022-12-15T11:41:25Z,GW
IEEE,Institute of Electronic and Electrical Engineers,,,2022-12-15T11:41:25Z,GW,2022-12-15T11:41:25Z,GW
IETF,Internet Engineering Task Force,,,2022-12-15T11:41:25Z,GW,2022-12-15T11:41:25Z,GW
IGP,Interior Gateway Protocol,"exchanges routing information within a single autonomous system (AS), for example: OSPF",https://support.huawei.com/enterprise/en/doc/EDOC1100086956,2022-12-15T11:41:25Z,GW,2022-12-15T11:41:25Z,GW
IIS,Internet Information Services,,,2022-12-15T11:41:25Z,GW,2022-12-15T11:41:25Z,GW
IKE,Internet Key Exchange ,,,2022-12-15T11:41:25Z,GW,2022-12-15T11:41:25Z,GW
IMAP,Internet Message Access Protocol,,,2022-12-15T11:41:25Z,GW,2022-12-15T11:41:25Z,GW
IOC,Indicator of Compromise,"one aspect of threat intelligence, which is the knowledge about an existing or emerging threat to assets, including networks and systems. ",,2022-12-15T11:41:25Z,GW,2022-12-15T11:41:25Z,GW
IOT,Internet of Things,,,2022-12-15T11:41:25Z,GW,2022-12-15T11:41:25Z,GW
IP,Internet Protocol ,,,2022-12-15T11:41:25Z,GW,2022-12-15T11:41:25Z,GW
IPFIX,Internet Protocol Flow Information Export ,,,2022-12-15T11:41:25Z,GW,2022-12-15T11:41:25Z,GW
IPS,Intrusion Prevention System,,,2022-12-15T11:41:25Z,GW,2022-12-15T11:41:25Z,GW
IPSEC,Internet Protocol Security,"In computing, Internet Protocol Security (IPsec) is a secure network protocol suite that authenticates and encrypts packets of data to provide secure encrypted communication between two computers over an Internet Protocol network. ",https://en.wikipedia.org/wiki/IPsec,2022-12-15T11:41:25Z,GW,2023-04-13T08:29:00Z,GW
ISCSI,Internet Small Computer Systems Interface ,,,2022-12-15T11:41:25Z,GW,2022-12-15T11:41:25Z,GW
ISE,Identity Services Engine,,,2022-12-15T11:41:25Z,GW,2022-12-15T11:41:25Z,GW
ISMS,Information Security Management System,An information security management system (ISMS) is a set of policies and procedures for systematically managing an organization's sensitive data. ,https://www.techtarget.com/whatis/definition/information-security-management-system-ISMS,2022-12-15T11:41:25Z,GW,2022-12-15T11:41:25Z,GW
ISO,International Standards Organization,"ISO is an independent, non-governmental international organization  ",https://www.iso.org/home.html,2022-12-15T11:41:25Z,GW,2022-12-15T11:41:25Z,GW
ISP,Internet Service Provider ,"An Internet service provider (ISP) is an organization that provides services for accessing, using, or participating in the Internet.  ",https://en.wikipedia.org/wiki/Internet_service_provider,2022-12-15T11:41:25Z,GW,2022-12-15T11:41:25Z,GW
IT,Information Technology ,,,2022-12-15T11:41:25Z,GW,2022-12-15T11:41:25Z,GW
IXP,Internet Exchange Point,,,2022-12-15T11:41:25Z,GW,2022-12-15T11:41:25Z,GW
JBOD,Just a bunch of disks,,https://en.wikipedia.org/wiki/Non-RAID_drive_architectures,2023-01-19T14:35:00Z,GW,2023-01-19T14:35:00Z,GW
JMS,Getting Started with Java Message Service,,https://www.oracle.com/technical-resources/articles/java/intro-java-message-service.html,2022-12-15T11:41:25Z,GW,2022-12-15T11:41:25Z,GW
KA,Knowledge Area,,,2022-12-15T11:41:25Z,GW,2022-12-15T11:41:25Z,GW
KDC,Key Distribution Center,,,2022-12-15T11:41:25Z,GW,2022-12-15T11:41:25Z,GW
KDF,Key derivation function,"a cryptographic algorithm that derives one or more secret keys from a secret value such as a master key, a password, or a passphrase using a pseudorandom function (which typically uses a cryptographic hash function or block cipher)",https://en.wikipedia.org/wiki/Key_derivation_function,2023-04-13T08:21:00Z,GW,2023-04-13T08:21:00Z,GW
KM,Key Management,,,2022-12-15T11:41:25Z,GW,2022-12-15T11:41:25Z,GW
KMS,Key Management System,,,2022-12-15T11:41:25Z,GW,2022-12-15T11:41:25Z,GW
KPI,Key Performance Indicators,,,2022-12-15T11:41:25Z,GW,2022-12-15T11:41:25Z,GW
LAMP,"Linux, Apache, MySQL, PHP/Perl/Python ",,,2022-12-15T11:41:25Z,GW,2022-12-15T11:41:25Z,GW
LAN,Local Area Network,,,2022-12-15T11:41:25Z,GW,2022-12-15T11:41:25Z,GW
LBM,Load Balancing Manager ,,,2022-12-15T11:41:25Z,GW,2022-12-15T11:41:25Z,GW
LDAP,Lightweight Directory Access Protocol ,,,2022-12-15T11:41:25Z,GW,2022-12-15T11:41:25Z,GW
LLC,Logical Link Control ,,,2022-12-15T11:41:25Z,GW,2022-12-15T11:41:25Z,GW
LSASS,Local Security Authority Subsystem Service ,,,2022-12-15T11:41:25Z,GW,2022-12-15T11:41:25Z,GW
LSU,Link State Update,,,2022-12-15T11:41:25Z,GW,2022-12-15T11:41:25Z,GW
LUKS,Linux Unified Key Setup ,The Linux Unified Key Setup (LUKS) is a disk encryption specification created by Clemens Fruhwirth in 2004 and was originally intended for Linux.,https://en.wikipedia.org/wiki/Linux_Unified_Key_Setup,2023-03-09T09:35:00Z,GW,2023-03-09T09:35:00Z,GW
MAC,Mandatory Access Control ,,,2022-12-15T11:41:25Z,GW,2022-12-15T11:41:25Z,GW
MAC,Media Access Control,Network interface MAC address,,2022-12-15T11:41:25Z,GW,2022-12-15T11:41:25Z,GW
MAC,Message Authentication Code,,,2022-12-15T11:41:25Z,GW,2022-12-15T11:41:25Z,GW
MACSEC,MAC Security,"IEEE 802 Local Area Networks (LANs) are deployed in networks that support mission-critical applications and a wide variety of devices, implemented and administered by different organizations, and serving customers with different economic interests ",https://1.ieee802.org/security/802-1ae/,2023-04-13T08:21:00Z,GW,2023-04-13T08:21:00Z,GW
MAM,Mobile Application Management,(MAM) to control corporate-owned software,,2022-12-15T11:41:25Z,GW,2022-12-15T11:41:25Z,GW
MAMP,"macOS, Apache, MySQL, PHP",,,2022-12-15T11:41:25Z,GW,2022-12-15T11:41:25Z,GW
MCU,Microcontroller Unit,,,2022-12-15T11:41:25Z,GW,2022-12-15T11:41:25Z,GW
MDM,Mobile Device Management ,MDM to manage corporate-owned devices,,2022-12-15T11:41:25Z,GW,2022-12-15T11:41:25Z,GW
